District,Unknownmonth,September,October,November,December,January,February,March,April,May,June,July,August
Bishoftu,10,5,17,10,13,10,13,19,14,17,23,18,20
Lemu bilbilo,40,10,19,13,7,17,10,7,9,5,9,12,31
